	COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1COLUMN_1
P1	4.34783	21.7391	23.913	39.1304	10.8696
P2	8.33333	10.4167	27.0833	31.25	22.9167
P3	5.88235	29.4118	29.4118	29.4118	5.88235
P4	0.740741	2.22222	14.8148	40	42.2222
P5	0	8.22785	25.9494	35.443	30.3797
P6	1.02041	9.18367	13.2653	35.7143	40.8163
P7	0	4.47761	13.4328	42.5373	39.5522
P8	0.314465	2.83019	16.3522	44.6541	35.8491
P9	1.2931	6.89655	16.8103	31.8966	43.1034
P10	9.73783	21.3483	33.3333	26.9663	8.61423
P11	23.4528	26.3844	22.8013	14.658	12.7036
P12	0	0.78125	6.25	45.3125	47.6563
P13	1.85185	7.14286	28.836	39.1534	23.0159
P14	1.48515	2.9703	6.43564	32.1782	56.9307
P15	0.787402	3.14961	14.9606	40.5512	40.5512
P16	0	0	0	14.6789	85.3211

