	COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0COLUMN_0
P1	4.61538	16.9231	30.7692	33.8462	13.8462
P2	7.79221	7.79221	23.3766	33.7662	27.2727
P3	3.0303	27.2727	33.3333	30.303	6.06061
P4	0.469484	1.87793	10.7981	38.0282	48.8263
P5	0	5.64516	21.7742	36.2903	36.2903
P6	1.27389	5.73248	8.9172	37.5796	46.4968
P7	0	2.04082	7.14286	33.3333	57.483
P8	0.158983	1.43084	10.1749	53.5771	34.6582
P9	0.852273	4.82955	15.0568	33.8068	45.4545
P10	7.6661	19.5911	29.6422	35.9455	7.15503
P11	30.4436	24.1935	21.9758	11.8952	11.4919
P12	0	0.372439	3.16574	39.851	56.6108
P13	1.18044	4.55312	26.3069	45.0253	22.9342
P14	0.702576	1.63934	3.0445	20.1405	74.4731
P15	0.368324	1.4733	8.65562	33.7017	55.8011
P16	0	0	0	4.13625	95.8637

